,Unnamed: 0,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
0,0,Milan Heights,3 BHK Flat for rent,"₹55,000 /month",,,3 Bedrooms,3 Bathrooms,2 Balconies,1600.0,1500.0,"Milan Heights
Bicholi Mardana, Indore",Family Only,,01 August 2024,"Owner on Jun 18, 2024",Vitrified,8th   of 8 Floors,Partial,1 to 5 Year Old,1 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Lift(s)
Maintenance Staff
Swimming Pool
Park
Piped-gas
Security Personnel
Fitness Centre / GYM
Club house / Community Center
Rain Water Harvesting",4.0
1,1,Earthshastra Nariman City,3 BHK Flat for rent,"₹15,000 /month",,,3 Bedrooms,3 Bathrooms,2 Balconies,1400.0,1000.0,"Earthshastra Nariman City
Super Corridor, Indore",All,,Immediate,"Owner on Jun 20, 2024",Vitrified,5th   of 6 Floors,Full,0 to 1 Year Old,1 Months,Yes,Charges not included,,4.1
2,2,ak Houses,2 BHK Flat for rent,"₹16,000 /month",,,2 Bedrooms,2 Bathrooms,No Balcony,,700.0,"ak Houses
Chhawni, Indore",All,,Immediate,"Owner on Jul 01, 2024",,2nd   of 3 Floors,,0 to 1 Year Old,0 Months,,Charges not included,,
3,3,Divya Vihar,2 BHK Flat for rent,"₹12,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,,1000.0,"Divya Vihar
Bhawrasla, Indore",Family Only,,Immediate,"Owner on Jun 29, 2024",,2nd   of 7 Floors,,1 to 5 Year Old,0 Months,Yes,Charges not included,,3.8
4,4,Sapphire Avenue,2 BHK Flat for rent,"₹35,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,1500.0,1100.0,"Sapphire Avenue
MG Road, Indore",All,,Immediate,"Dealer on Jun 29, 2024",Vitrified,2nd   of 5 Floors,Full,0 to 1 Year Old,1 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Security / Fire Alarm
Lift(s)
Maintenance Staff
Park
Visitor Parking",
5,5,"Kalani Nagar, Indore",3 Bedroom House for rent,"₹22,000 /month",,,3 Bedrooms,3 Bathrooms,2 Balconies,,,"Kalani Nagar, Indore",Family Only,,Immediate,"Owner on Jun 30, 2024",,,,1 to 5 Year Old,1 Months,,Charges not included,"Private Garden / Terrace
Water Storage
Visitor Parking",3.9
6,6,Matrika Casa Greens,3 BHK Flat for rent,"₹22,000 /month",,,3 Bedrooms,2 Bathrooms,3 Balconies,1352.0,952.0,"Matrika Casa Greens
Talawali Chanda, Indore","Family , Bachelors (Women Only)",,24 July 2024,"Owner on Jul 01, 2024",Marble,6th   of 6 Floors,Partial,1 to 5 Year Old,0 Months,Yes,Charges not included,"Lift(s)
Swimming Pool
Park
Internet/wi-fi connectivity
Shopping Centre
Fitness Centre / GYM
Club house / Community Center",4.0
7,7,Vijay Nagar,Studio Apartments / 1 RK Flats for rent,"₹10,500 /month",,,1 Room,1 Bathroom,No Balcony,,450.0,"Vijay Nagar
Scheme No 54 Indore, Indore",Bachelors (Men/Women),,Immediate,"Dealer on Jun 26, 2024",,Ground of 0 Floors,,1 to 5 Year Old,0 Months,,Charges included,,4.2
8,8,"Bijli Nagar, Bicholi Road",2 Bedroom House for rent,"₹9,000 /month",,,2 Bedrooms,1 Bathroom,No Balcony,,,"Bijli Nagar, Bicholi Road
Bijli Nagar, Indore",Bachelors (Women Only),,Immediate,"Owner on Jul 01, 2024",Mosaic,,,5 to 10 Year Old,1 Months,,Charges not included,"Water Storage
Park
Waste Disposal
Rain Water Harvesting",
9,9,"Mahalaxmi Nagar, Indore",1 BHK Independent Builder Floor for rent,"₹17,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,,550.0,"Mahalaxmi Nagar, Indore",All,,Immediate,"Dealer on Jun 18, 2024",Wood,3rd   of 5 Floors,,1 to 5 Year Old,1 Months,,Charges not included,,4.3
10,10,"Scheme No 74C, Indore",3 Bedroom House for rent,"₹30,000 /month",,,3 Bedrooms,3 Bathrooms,2 Balconies,,,"Scheme No 74C, Indore",All,,Immediate,"Dealer on Jun 19, 2024",,,,1 to 5 Year Old,0 Months,,Charges not included,,
11,11,Mirchandani Shalimar Township,3 BHK Flat for rent,"₹26,000 /month",,,3 Bedrooms,3 Bathrooms,2 Balconies,1700.0,1250.0,"Mirchandani Shalimar Township
AB Road indore , Indore",All,,Immediate,"Dealer on Jun 26, 2024",Vitrified,3rd   of 5 Floors,Partial,5 to 10 Year Old,1 Months,Yes,Charges not included,"Lift(s)
Swimming Pool
Piped-gas
Natural Light
Shopping Centre
Fitness Centre / GYM
Club house / Community Center",4.3
12,12,Mirchandani Premium Towers,3 BHK Flat for rent,"₹32,000 /month",,,3 Bedrooms,3 Bathrooms,2 Balconies,2100.0,1600.0,"Mirchandani Premium Towers
AB Road indore , Indore",All,,Immediate,"Dealer on Jun 03, 2024",Vitrified,6th   of 10 Floors,Partial,5 to 10 Year Old,1 Months,Yes,Charges not included,"Intercom Facility
Lift(s)
Maintenance Staff
Swimming Pool
Park
Visitor Parking
Natural Light
Airy Rooms
Shopping Centre
Fitness Centre / GYM
Club house / Community Center",4.3
13,13,"Vijay Nagar , Indore",3 Bedroom House for rent,"₹25,000 /month",,,3 Bedrooms,3 Bathrooms,1 Balcony,,,"Vijay Nagar , Indore","Family , Bachelors (Men Only)",,Immediate,"Dealer on Jun 30, 2024",Ceramic,,,1 to 5 Year Old,2 Months,,Charges not included,"Private Garden / Terrace
Water Storage
Rain Water Harvesting",4.4
14,14,Luv Kush Apartments,1 BHK Flat for rent,"₹18,000 /month",,,,,,,,,,,,,,,,,,,,,
15,15,Premier Towers,2 BHK Flat for rent,"₹25,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,1000.0,700.0,"Premier Towers
Shalimar Township, Indore",All,,,"Dealer on Jul 02, 2024",Vitrified,2nd   of 6 Floors,,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Intercom Facility
Maintenance Staff
Water Storage
Piped-gas
Visitor Parking
Swimming Pool
Park
Security Personnel
Natural Light
Spacious Interiors
Shopping Centre
Fitness Centre / GYM
Club house / Community Center
Water softening plant",4.0
16,16,"SILVER PALACE, Indore",4 Bedroom House for rent,"₹25,000 /month",,,4 Bedrooms,4 Bathrooms,1 Balcony,,,"SILVER PALACE, Indore",All,,,"Owner on Jul 04, 2024",Marble,,,10+ Year Old,1 Months,,Charges included,,
17,17,Shiv Vatika,3 BHK Flat for rent,"₹24,000 /month",,,3 Bedrooms,2 Bathrooms,2 Balconies,,1100.0,"Shiv Vatika
MR 11, Indore",All,,,"Owner on Jul 04, 2024",Vitrified,6th   of 6 Floors,,0 to 1 Year Old,1 Months,,Charges not included,"Feng Shui / Vaastu Compliant
Security / Fire Alarm
Lift(s)
Park
Visitor Parking",
18,18,Rukhmani Plaza,2 BHK Flat for rent,"₹25,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,,1149.0,"Rukhmani Plaza
Rukhmani Plaza, A B Road, Palasia, Indore","Family , Bachelors (Women Only)",,,"Owner on Jul 03, 2024",Marble,1st   of 5 Floors,Partial,10+ Year Old,3 Months,Yes,Charges not included,,
19,19,Man Royal Premium,2 BHK Flat for rent,"₹23,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,1150.0,865.0,"Man Royal Premium
Vijay Nagar , Indore",Family Only,,,"Owner on Jul 03, 2024",,4th   of 6 Floors,,10+ Year Old,1 Months,,Charges not included,,3.8
20,20,Chandana Apartment,3 BHK Flat for rent,"₹36,000 /month",,,3 Bedrooms,2 Bathrooms,1 Balcony,1550.0,1200.0,"Chandana Apartment
New Palasia, Indore",All,,,"Owner on Jul 03, 2024",,3rd   of 5 Floors,,10+ Year Old,0 Months,Yes,Charges not included,"Security / Fire Alarm
Lift(s)
Maintenance Staff
Park
Visitor Parking",4.1
21,21,Sterling Skyline,2 BHK Flat for rent,"₹16,500 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,,800.0,"Sterling Skyline
Bicholi Mardana, Indore",Family Only,,,"Owner on Jul 03, 2024",Ceramic,3rd   of 9 Floors,,10+ Year Old,1 Months,,Charges not included,,4.0
22,22,Awho Complex,3 BHK Flat for rent,"₹24,500 /month",,,3 Bedrooms,2 Bathrooms,2 Balconies,,1560.0,"Awho Complex
Vijay Nagar , Indore",Family Only,,,"Owner on Jul 03, 2024",Others,1st   of 10 Floors,Full,5 to 10 Year Old,2 Months,Yes,Charges not included,,4.4
23,23,Shree Siddhivinayak Residency,2 BHK Flat for rent,"₹12,000 /month",,,2 Bedrooms,1 Bathroom,1 Balcony,,1000.0,"Shree Siddhivinayak Residency
Hukma Khedi, Indore",All,,,"Owner on Jul 03, 2024",,2nd   of 3 Floors,,1 to 5 Year Old,0 Months,,Charges included,,
24,24,Shree Siddhivinayak Residency,1 BHK Flat for rent,"₹12,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,,1000.0,"Shree Siddhivinayak Residency
LIG Square, Indore",All,,,"Owner on Jul 03, 2024",,2nd   of 3 Floors,,1 to 5 Year Old,6 Months,Yes,Charges not included,Park,
25,0,BCM Paradise,3 BHK Flat for rent,"₹30,500 /month",,,3 Bedrooms,2 Bathrooms,3 Balconies,,1600.0,"BCM Paradise
Tulsi Nagar , Indore",Family Only,,,"Owner on Jul 03, 2024",Vitrified,3rd   of 14 Floors,Full,5 to 10 Year Old,1 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Lift(s)
Swimming Pool
Park
Fitness Centre / GYM",3.5
26,1,Apollo DB City,1 Bedroom House for rent,"₹15,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,,,"Apollo DB City
Nipania, Indore","Family , Bachelors (Men Only)",,,"Owner on Jul 03, 2024",,,,1 to 5 Year Old,1 Months,,Charges not included,"Feng Shui / Vaastu Compliant
Park
Rain Water Harvesting",4.3
27,2,Earthshastra Nariman City,1 BHK Flat for rent,"₹8,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,620.0,,"Earthshastra Nariman City
Super Corridor, Indore",All,,,"Owner on Jul 03, 2024",,5th   of 6 Floors,,0 to 1 Year Old,0 Months,,Charges included,,4.1
28,3,Hig Flat,1 BHK Flat for rent,"₹15,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,,480.0,"Hig Flat
Vijay Nagar , Indore",All,,,"Owner on Jul 03, 2024",,1st   of 2 Floors,,1 to 5 Year Old,1 Months,,Charges not included,,4.4
29,4,Sata Siddhi Solitaire,2 BHK Flat for rent,"₹10,500 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,,950.0,"Sata Siddhi Solitaire
Santer, Indore",Family Only,,,"Owner on Jul 03, 2024",,6th   of 7 Floors,,10+ Year Old,0 Months,,Charges not included,,
30,5,shellputri paradise rajendra nagar,2 BHK Flat for rent,"₹16,500 /month",,,2 Bedrooms,2 Bathrooms,3+ Balconies,1250.0,845.0,"shellputri paradise rajendra nagar
dhanwantari nagar, Indore",All,,,"Owner on Jul 03, 2024",Vitrified,1st   of 3 Floors,,1 to 5 Year Old,0 Months,,Charges not included,,
31,6,Parinay Homes,3 BHK Flat for rent,"₹40,000 /month",,,3 Bedrooms,3 Bathrooms,3+ Balconies,2025.0,1550.0,"Parinay Homes
Bicholi Hapsi, Indore",Family Only,,,"Owner on Jul 03, 2024",Vitrified,3rd   of 6 Floors,,10+ Year Old,1 Months,Yes,Charges not included,"Lift(s)
False Ceiling Lighting
Water Storage
Bank Attached Property
Piped-gas
Natural Light
Internet/wi-fi connectivity
Airy Rooms
Spacious Interiors
Low Density Society
Shopping Centre
Fitness Centre / GYM
Water softening plant",
32,7,IDA Building Scheme 155,2 BHK Flat for rent,"₹12,500 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,,1050.0,"IDA Building Scheme 155
Scheme 155, Indore",All,,,"Owner on Jul 03, 2024",Vitrified,5th   of 6 Floors,,0 to 1 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
False Ceiling Lighting
Park
Recently Renovated
Security Personnel
Natural Light
Airy Rooms
Spacious Interiors",
